test,provider,result,scored,type,description,file
3.1.1,aws,PASS,false,Manual,Ensure that the kubeconfig file permissions are set to 644 or more restrictive (Manual),aws_output.json
3.1.2,aws,PASS,false,Manual,Ensure that the kubelet kubeconfig file ownership is set to root:root (Manual),aws_output.json
3.1.3,aws,PASS,false,Manual,Ensure that the kubelet configuration file has permissions set to 644 or more restrictive (Manual),aws_output.json
3.1.4,aws,PASS,false,Manual,Ensure that the kubelet configuration file ownership is set to root:root (Manual),aws_output.json
3.2.1,aws,PASS,true,Automated,Ensure that the Anonymous Auth is Not Enabled (Automated),aws_output.json
3.2.2,aws,PASS,true,Automated,Ensure that the --authorization-mode argument is not set to AlwaysAllow (Automated),aws_output.json
3.2.3,aws,PASS,false,Manual,Ensure that a Client CA File is Configured (Manual),aws_output.json
3.2.4,aws,PASS,false,Manual,Ensure that the --read-only-port is disabled (Manual),aws_output.json
3.2.5,aws,PASS,true,Automated,Ensure that the --streaming-connection-idle-timeout argument is not set to 0 (Automated),aws_output.json
3.2.6,aws,PASS,true,Automated,Ensure that the --protect-kernel-defaults argument is set to true (Automated),aws_output.json
3.2.7,aws,PASS,true,Automated,Ensure that the --make-iptables-util-chains argument is set to true (Automated) ,aws_output.json
3.2.8,aws,WARN,false,Manual,Ensure that the --hostname-override argument is not set (Manual),aws_output.json
3.2.9,aws,WARN,false,Automated,Ensure that the --eventRecordQPS argument is set to 0 or a level which ensures appropriate event capture (Automated),aws_output.json
3.2.10,aws,PASS,false,Manual,Ensure that the --rotate-certificates argument is not present or is set to true (Manual),aws_output.json
3.2.11,aws,PASS,false,Manual,Ensure that the RotateKubeletServerCertificate argument is set to true (Manual),aws_output.json
3.3.1,aws,WARN,false,Manual,Prefer using a container-optimized OS when possible (Manual),aws_output.json
4.1.1,aws,WARN,false,Manual,Ensure that the cluster-admin role is only used where required (Manual),aws_output.json
4.1.2,aws,WARN,false,Manual,Minimize access to secrets (Manual),aws_output.json
4.1.3,aws,WARN,false,Manual,Minimize wildcard use in Roles and ClusterRoles (Manual),aws_output.json
4.1.4,aws,WARN,false,Manual,Minimize access to create pods (Manual),aws_output.json
4.1.5,aws,WARN,false,Manual,Ensure that default service accounts are not actively used. (Manual),aws_output.json
4.1.6,aws,WARN,false,Manual,Ensure that Service Account Tokens are only mounted where necessary (Manual),aws_output.json
4.1.7,aws,WARN,false,Manual,Avoid use of system:masters group (Manual),aws_output.json
4.1.8,aws,WARN,false,Manual,Limit use of the Bind- Impersonate and Escalate permissions in the Kubernetes cluster (Manual),aws_output.json
4.2.1,aws,WARN,false,Automated,Minimize the admission of privileged containers (Automated),aws_output.json
4.2.2,aws,WARN,false,Automated,Minimize the admission of containers wishing to share the host process ID namespace (Automated),aws_output.json
4.2.3,aws,WARN,false,Automated,Minimize the admission of containers wishing to share the host IPC namespace (Automated),aws_output.json
4.2.4,aws,WARN,false,Automated,Minimize the admission of containers wishing to share the host network namespace (Automated),aws_output.json
4.2.5,aws,WARN,false,Automated,Minimize the admission of containers with allowPrivilegeEscalation (Automated),aws_output.json
4.2.6,aws,WARN,false,Automated,Minimize the admission of root containers (Automated),aws_output.json
4.2.7,aws,WARN,false,Manual,Minimize the admission of containers with added capabilities (Manual),aws_output.json
4.2.8,aws,WARN,false,Manual,Minimize the admission of containers with capabilities assigned (Manual),aws_output.json
4.3.1,aws,WARN,false,Manual,Ensure CNI plugin supports network policies (Manual),aws_output.json
4.3.2,aws,WARN,false,Manual,Ensure that all Namespaces have Network Policies defined (Manual),aws_output.json
4.4.1,aws,WARN,false,Manual,Prefer using secrets as files over secrets as environment variables (Manual),aws_output.json
4.4.2,aws,WARN,false,Manual,Consider external secret storage (Manual),aws_output.json
4.6.1,aws,WARN,false,Manual,Create administrative boundaries between resources using namespaces (Manual),aws_output.json
4.6.2,aws,WARN,false,Manual,Apply Security Context to Your Pods and Containers (Manual),aws_output.json
4.6.3,aws,WARN,false,Manual,The default namespace should not be used (Manual),aws_output.json
5.1.1,aws,WARN,false,Manual,Ensure Image Vulnerability Scanning using Amazon ECR image scanning or a third-party provider (Manual),aws_output.json
5.1.2,aws,WARN,false,Manual,Minimize user access to Amazon ECR (Manual),aws_output.json
5.1.3,aws,WARN,false,Manual,Minimize cluster access to read-only for Amazon ECR (Manual),aws_output.json
5.1.4,aws,WARN,false,Manual,Minimize Container Registries to only those approved (Manual),aws_output.json
5.2.1,aws,WARN,false,Manual,Prefer using dedicated Amazon EKS Service Accounts (Manual),aws_output.json
5.3.1,aws,WARN,false,Manual,Ensure Kubernetes Secrets are encrypted using Customer Master Keys (CMKs) managed in AWS KMS (Manual),aws_output.json
5.4.1,aws,WARN,false,Manual,Restrict Access to the Control Plane Endpoint (Manual),aws_output.json
5.4.2,aws,WARN,false,Manual,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled (Manual),aws_output.json
5.4.3,aws,WARN,false,Manual,Ensure clusters are created with Private Nodes (Manual),aws_output.json
5.4.4,aws,WARN,false,Manual,Ensure Network Policy is Enabled and set as appropriate (Manual),aws_output.json
5.4.5,aws,WARN,false,Manual,Encrypt traffic to HTTPS load balancers with TLS certificates (Manual),aws_output.json
5.5.1,aws,WARN,false,Manual,Manage Kubernetes RBAC users with AWS IAM Authenticator for Kubernetes (Manual),aws_output.json
5.6.1,aws,WARN,false,Manual,Consider Fargate for running untrusted workloads (Manual),aws_output.json
3.1.1,azure,PASS,false,Manual,Ensure that the kubeconfig file permissions are set to 644 or more restrictive (Manual),azure_bench_scan.json
3.1.2,azure,PASS,false,Manual,Ensure that the kubelet kubeconfig file ownership is set to root:root (Manual),azure_bench_scan.json
3.1.3,azure,PASS,false,Manual,Ensure that the kubelet configuration file has permissions set to 644 or more restrictive (Manual),azure_bench_scan.json
3.1.4,azure,PASS,false,Manual,Ensure that the kubelet configuration file ownership is set to root:root (Manual),azure_bench_scan.json
3.2.1,azure,PASS,false,Manual,Ensure that the --anonymous-auth argument is set to false (Manual),azure_bench_scan.json
3.2.2,azure,PASS,false,Manual,Ensure that the --authorization-mode argument is not set to AlwaysAllow (Manual),azure_bench_scan.json
3.2.3,azure,PASS,false,Manual,Ensure that the --client-ca-file argument is set as appropriate (Manual),azure_bench_scan.json
3.2.4,azure,PASS,false,Manual,Ensure that the --read-only-port argument is set to 0 (Manual),azure_bench_scan.json
3.2.5,azure,PASS,false,Manual,Ensure that the --streaming-connection-idle-timeout argument is not set to 0 (Manual),azure_bench_scan.json
3.2.6,azure,PASS,false,Manual,Ensure that the --protect-kernel-defaults argument is set to true (Manual),azure_bench_scan.json
3.2.7,azure,PASS,false,Manual,Ensure that the --make-iptables-util-chains argument is set to true (Manual) ,azure_bench_scan.json
3.2.8,azure,PASS,false,Manual,Ensure that the --hostname-override argument is not set (Manual),azure_bench_scan.json
3.2.9,azure,PASS,false,Manual,Ensure that the --event-qps argument is set to 0 or a level which ensures appropriate event capture (Manual),azure_bench_scan.json
3.2.10,azure,PASS,false,Manual,Ensure that the --rotate-certificates argument is not set to false (Manual),azure_bench_scan.json
3.2.11,azure,WARN,false,Manual,Ensure that the RotateKubeletServerCertificate argument is set to true (Manual),azure_bench_scan.json
4.1.1,azure,WARN,false,Manual,Ensure that the cluster-admin role is only used where required (Manual),azure_bench_scan.json
4.1.2,azure,WARN,false,Manual,Minimize access to secrets (Manual),azure_bench_scan.json
4.1.3,azure,WARN,false,Manual,Minimize wildcard use in Roles and ClusterRoles (Manual),azure_bench_scan.json
4.1.4,azure,WARN,false,Manual,Minimize access to create pods (Manual),azure_bench_scan.json
4.1.5,azure,WARN,false,Manual,Ensure that default service accounts are not actively used. (Manual),azure_bench_scan.json
4.1.6,azure,WARN,false,Manual,Ensure that Service Account Tokens are only mounted where necessary (Manual),azure_bench_scan.json
4.2.1,azure,WARN,false,Automated,Minimize the admission of privileged containers (Automated),azure_bench_scan.json
4.2.2,azure,WARN,false,Automated,Minimize the admission of containers wishing to share the host process ID namespace (Automated),azure_bench_scan.json
4.2.3,azure,WARN,false,Automated,Minimize the admission of containers wishing to share the host IPC namespace (Automated),azure_bench_scan.json
4.2.4,azure,WARN,false,Automated,Minimize the admission of containers wishing to share the host network namespace (Automated),azure_bench_scan.json
4.2.5,azure,WARN,false,Automated,Minimize the admission of containers with allowPrivilegeEscalation (Automated),azure_bench_scan.json
4.2.6,azure,WARN,false,Automated,Minimize the admission of root containers (Automated),azure_bench_scan.json
4.2.7,azure,WARN,false,Automated,Minimize the admission of containers with the NET_RAW capability (Automated),azure_bench_scan.json
4.2.8,azure,WARN,false,Automated,Minimize the admission of containers with added capabilities (Automated),azure_bench_scan.json
4.2.9,azure,WARN,false,Manual,Minimize the admission of containers with capabilities assigned (Manual),azure_bench_scan.json
4.4.1,azure,WARN,false,Manual,Ensure that the latest CNI version is used (Manual),azure_bench_scan.json
4.4.2,azure,WARN,false,Manual,Ensure that all Namespaces have Network Policies defined (Manual),azure_bench_scan.json
4.5.1,azure,WARN,false,Manual,Prefer using secrets as files over secrets as environment variables (Manual),azure_bench_scan.json
4.5.2,azure,WARN,false,Manual,Consider external secret storage (Manual),azure_bench_scan.json
4.6.1,azure,WARN,false,Manual,Verify that admission controllers are working as expected (Manual),azure_bench_scan.json
4.7.1,azure,WARN,false,Manual,Create administrative boundaries between resources using namespaces (Manual),azure_bench_scan.json
4.7.2,azure,WARN,false,Manual,Apply Security Context to Your Pods and Containers (Manual),azure_bench_scan.json
4.7.3,azure,WARN,false,Manual,The default namespace should not be used (Manual),azure_bench_scan.json
5.1.1,azure,WARN,false,Manual,Ensure Image Vulnerability Scanning using Azure Defender image scanning or a third party provider (Manual),azure_bench_scan.json
5.1.2,azure,WARN,false,Manual,Minimize user access to Azure Container Registry (ACR) (Manual),azure_bench_scan.json
5.1.3,azure,WARN,false,Manual,Minimize cluster access to read-only for Azure Container Registry (ACR) (Manual),azure_bench_scan.json
5.1.4,azure,WARN,false,Manual,Minimize Container Registries to only those approved (Manual),azure_bench_scan.json
5.2.1,azure,WARN,false,Manual,Prefer using dedicated AKS Service Accounts (Manual),azure_bench_scan.json
5.3.1,azure,WARN,false,Manual,Ensure Kubernetes Secrets are encrypted (Manual),azure_bench_scan.json
5.4.1,azure,WARN,false,Manual,Restrict Access to the Control Plane Endpoint (Manual),azure_bench_scan.json
5.4.2,azure,WARN,false,Manual,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled (Manual),azure_bench_scan.json
5.4.3,azure,WARN,false,Manual,Ensure clusters are created with Private Nodes (Manual),azure_bench_scan.json
5.4.4,azure,WARN,false,Manual,Ensure Network Policy is Enabled and set as appropriate (Manual),azure_bench_scan.json
5.4.5,azure,WARN,false,Manual,Encrypt traffic to HTTPS load balancers with TLS certificates (Manual),azure_bench_scan.json
5.5.1,azure,WARN,false,Manual,Manage Kubernetes RBAC users with Azure AD (Manual),azure_bench_scan.json
5.5.2,azure,WARN,false,Manual,Use Azure RBAC for Kubernetes Authorization (Manual),azure_bench_scan.json
5.6.1,azure,WARN,false,Manual,Restrict untrusted workloads (Manual),azure_bench_scan.json
5.6.2,azure,WARN,false,Manual,Hostile multi-tenant workloads (Manual),azure_bench_scan.json
4.1.1,azure,PASS,true,Automated,Ensure that the kubelet service file permissions are set to 600 or more restrictive (Automated),general_bench_scan.json
4.1.2,azure,PASS,true,Automated,Ensure that the kubelet service file ownership is set to root:root (Automated),general_bench_scan.json
4.1.3,azure,PASS,false,Manual,If proxy kubeconfig file exists ensure permissions are set to 600 or more restrictive (Manual),general_bench_scan.json
4.1.4,azure,PASS,false,Manual,If proxy kubeconfig file exists ensure ownership is set to root:root (Manual),general_bench_scan.json
4.1.5,azure,PASS,true,Automated,Ensure that the --kubeconfig kubelet.conf file permissions are set to 600 or more restrictive (Automated),general_bench_scan.json
4.1.6,azure,PASS,true,Automated,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root (Automated),general_bench_scan.json
4.1.7,azure,PASS,false,Manual,Ensure that the certificate authorities file permissions are set to 600 or more restrictive (Manual),general_bench_scan.json
4.1.8,azure,PASS,false,Manual,Ensure that the client certificate authorities file ownership is set to root:root (Manual),general_bench_scan.json
4.1.9,azure,PASS,false,Manual,If the kubelet config.yaml configuration file is being used validate permissions set to 600 or more restrictive (Manual),general_bench_scan.json
4.1.10,azure,PASS,false,Manual,If the kubelet config.yaml configuration file is being used validate file ownership is set to root:root (Manual),general_bench_scan.json
4.2.1,azure,PASS,true,Automated,Ensure that the --anonymous-auth argument is set to false (Automated),general_bench_scan.json
4.2.2,azure,PASS,true,Automated,Ensure that the --authorization-mode argument is not set to AlwaysAllow (Automated),general_bench_scan.json
4.2.3,azure,PASS,true,Automated,Ensure that the --client-ca-file argument is set as appropriate (Automated),general_bench_scan.json
4.2.4,azure,PASS,false,Manual,Verify that the --read-only-port argument is set to 0 (Manual),general_bench_scan.json
4.2.5,azure,PASS,false,Manual,Ensure that the --streaming-connection-idle-timeout argument is not set to 0 (Manual),general_bench_scan.json
4.2.6,azure,PASS,true,Automated,Ensure that the --make-iptables-util-chains argument is set to true (Automated),general_bench_scan.json
4.2.7,azure,PASS,false,Manual,Ensure that the --hostname-override argument is not set (Manual),general_bench_scan.json
4.2.8,azure,PASS,false,Manual,Ensure that the eventRecordQPS argument is set to a level which ensures appropriate event capture (Manual),general_bench_scan.json
4.2.9,azure,PASS,false,Manual,Ensure that the --tls-cert-file and --tls-private-key-file arguments are set as appropriate (Manual),general_bench_scan.json
4.2.10,azure,PASS,true,Automated,Ensure that the --rotate-certificates argument is not set to false (Automated),general_bench_scan.json
4.2.11,azure,PASS,false,Manual,Verify that the RotateKubeletServerCertificate argument is set to true (Manual),general_bench_scan.json
4.2.12,azure,PASS,false,Manual,Ensure that the Kubelet only makes use of Strong Cryptographic Ciphers (Manual),general_bench_scan.json
4.2.13,azure,WARN,false,Manual,Ensure that a limit is set on pod PIDs (Manual),general_bench_scan.json
5.1.1,azure,WARN,false,Manual,Ensure that the cluster-admin role is only used where required (Manual),general_bench_scan.json
5.1.2,azure,WARN,false,Manual,Minimize access to secrets (Manual),general_bench_scan.json
5.1.3,azure,WARN,false,Manual,Minimize wildcard use in Roles and ClusterRoles (Manual),general_bench_scan.json
5.1.4,azure,WARN,false,Manual,Minimize access to create pods (Manual),general_bench_scan.json
5.1.5,azure,WARN,false,Manual,Ensure that default service accounts are not actively used. (Manual),general_bench_scan.json
5.1.6,azure,WARN,false,Manual,Ensure that Service Account Tokens are only mounted where necessary (Manual),general_bench_scan.json
5.1.7,azure,WARN,false,Manual,Avoid use of system:masters group (Manual),general_bench_scan.json
5.1.8,azure,WARN,false,Manual,Limit use of the Bind- Impersonate and Escalate permissions in the Kubernetes cluster (Manual),general_bench_scan.json
5.1.9,azure,WARN,false,Manual,Minimize access to create persistent volumes (Manual),general_bench_scan.json
5.1.10,azure,WARN,false,Manual,Minimize access to the proxy sub-resource of nodes (Manual),general_bench_scan.json
5.1.11,azure,WARN,false,Manual,Minimize access to the approval sub-resource of certificatesigningrequests objects (Manual),general_bench_scan.json
5.1.12,azure,WARN,false,Manual,Minimize access to webhook configuration objects (Manual),general_bench_scan.json
5.1.13,azure,WARN,false,Manual,Minimize access to the service account token creation (Manual),general_bench_scan.json
5.2.1,azure,WARN,false,Manual,Ensure that the cluster has at least one active policy control mechanism in place (Manual),general_bench_scan.json
5.2.2,azure,WARN,false,Manual,Minimize the admission of privileged containers (Manual),general_bench_scan.json
5.2.3,azure,WARN,false,Automated,Minimize the admission of containers wishing to share the host process ID namespace (Automated),general_bench_scan.json
5.2.4,azure,WARN,false,Automated,Minimize the admission of containers wishing to share the host IPC namespace (Automated),general_bench_scan.json
5.2.5,azure,WARN,false,Automated,Minimize the admission of containers wishing to share the host network namespace (Automated),general_bench_scan.json
5.2.6,azure,WARN,false,Automated,Minimize the admission of containers with allowPrivilegeEscalation (Automated),general_bench_scan.json
5.2.7,azure,WARN,false,Automated,Minimize the admission of root containers (Automated),general_bench_scan.json
5.2.8,azure,WARN,false,Automated,Minimize the admission of containers with the NET_RAW capability (Automated),general_bench_scan.json
5.2.9,azure,WARN,false,Automated,Minimize the admission of containers with added capabilities (Automated),general_bench_scan.json
5.2.10,azure,WARN,false,Manual,Minimize the admission of containers with capabilities assigned (Manual),general_bench_scan.json
5.2.11,azure,WARN,false,Manual,Minimize the admission of Windows HostProcess containers (Manual),general_bench_scan.json
5.2.12,azure,WARN,false,Manual,Minimize the admission of HostPath volumes (Manual),general_bench_scan.json
5.2.13,azure,WARN,false,Manual,Minimize the admission of containers which use HostPorts (Manual),general_bench_scan.json
5.3.1,azure,WARN,false,Manual,Ensure that the CNI in use supports NetworkPolicies (Manual),general_bench_scan.json
5.3.2,azure,WARN,false,Manual,Ensure that all Namespaces have NetworkPolicies defined (Manual),general_bench_scan.json
5.4.1,azure,WARN,false,Manual,Prefer using Secrets as files over Secrets as environment variables (Manual),general_bench_scan.json
5.4.2,azure,WARN,false,Manual,Consider external secret storage (Manual),general_bench_scan.json
5.5.1,azure,WARN,false,Manual,Configure Image Provenance using ImagePolicyWebhook admission controller (Manual),general_bench_scan.json
5.7.1,azure,WARN,false,Manual,Create administrative boundaries between resources using namespaces (Manual),general_bench_scan.json
5.7.2,azure,WARN,false,Manual,Ensure that the seccomp profile is set to docker/default in your Pod definitions (Manual),general_bench_scan.json
5.7.3,azure,WARN,false,Manual,Apply SecurityContext to your Pods and Containers (Manual),general_bench_scan.json
5.7.4,azure,WARN,false,Manual,The default namespace should not be used (Manual),general_bench_scan.json
4.1.1,digitalocean,FAIL,true,Automated,Ensure that the kubelet service file permissions are set to 600 or more restrictive (Automated),general_bench.json
4.1.2,digitalocean,PASS,true,Automated,Ensure that the kubelet service file ownership is set to root:root (Automated),general_bench.json
4.1.3,digitalocean,PASS,false,Manual,If proxy kubeconfig file exists ensure permissions are set to 600 or more restrictive (Manual),general_bench.json
4.1.4,digitalocean,PASS,false,Manual,If proxy kubeconfig file exists ensure ownership is set to root:root (Manual),general_bench.json
4.1.5,digitalocean,FAIL,true,Automated,Ensure that the --kubeconfig kubelet.conf file permissions are set to 600 or more restrictive (Automated),general_bench.json
4.1.6,digitalocean,PASS,true,Automated,Ensure that the --kubeconfig kubelet.conf file ownership is set to root:root (Automated),general_bench.json
4.1.7,digitalocean,WARN,false,Manual,Ensure that the certificate authorities file permissions are set to 600 or more restrictive (Manual),general_bench.json
4.1.8,digitalocean,WARN,false,Manual,Ensure that the client certificate authorities file ownership is set to root:root (Manual),general_bench.json
4.1.9,digitalocean,WARN,false,Manual,If the kubelet config.yaml configuration file is being used validate permissions set to 600 or more restrictive (Manual),general_bench.json
4.1.10,digitalocean,PASS,false,Manual,If the kubelet config.yaml configuration file is being used validate file ownership is set to root:root (Manual),general_bench.json
4.2.1,digitalocean,FAIL,true,Automated,Ensure that the --anonymous-auth argument is set to false (Automated),general_bench.json
4.2.2,digitalocean,FAIL,true,Automated,Ensure that the --authorization-mode argument is not set to AlwaysAllow (Automated),general_bench.json
4.2.3,digitalocean,FAIL,true,Automated,Ensure that the --client-ca-file argument is set as appropriate (Automated),general_bench.json
4.2.4,digitalocean,PASS,false,Manual,Verify that the --read-only-port argument is set to 0 (Manual),general_bench.json
4.2.5,digitalocean,PASS,false,Manual,Ensure that the --streaming-connection-idle-timeout argument is not set to 0 (Manual),general_bench.json
4.2.6,digitalocean,PASS,true,Automated,Ensure that the --make-iptables-util-chains argument is set to true (Automated),general_bench.json
4.2.7,digitalocean,PASS,false,Manual,Ensure that the --hostname-override argument is not set (Manual),general_bench.json
4.2.8,digitalocean,PASS,false,Manual,Ensure that the eventRecordQPS argument is set to a level which ensures appropriate event capture (Manual),general_bench.json
4.2.9,digitalocean,WARN,false,Manual,Ensure that the --tls-cert-file and --tls-private-key-file arguments are set as appropriate (Manual),general_bench.json
4.2.10,digitalocean,PASS,true,Automated,Ensure that the --rotate-certificates argument is not set to false (Automated),general_bench.json
4.2.11,digitalocean,PASS,false,Manual,Verify that the RotateKubeletServerCertificate argument is set to true (Manual),general_bench.json
4.2.12,digitalocean,WARN,false,Manual,Ensure that the Kubelet only makes use of Strong Cryptographic Ciphers (Manual),general_bench.json
4.2.13,digitalocean,WARN,false,Manual,Ensure that a limit is set on pod PIDs (Manual),general_bench.json
5.1.1,digitalocean,WARN,false,Manual,Ensure that the cluster-admin role is only used where required (Manual),general_bench.json
5.1.2,digitalocean,WARN,false,Manual,Minimize access to secrets (Manual),general_bench.json
5.1.3,digitalocean,WARN,false,Manual,Minimize wildcard use in Roles and ClusterRoles (Manual),general_bench.json
5.1.4,digitalocean,WARN,false,Manual,Minimize access to create pods (Manual),general_bench.json
5.1.5,digitalocean,WARN,false,Manual,Ensure that default service accounts are not actively used. (Manual),general_bench.json
5.1.6,digitalocean,WARN,false,Manual,Ensure that Service Account Tokens are only mounted where necessary (Manual),general_bench.json
5.1.7,digitalocean,WARN,false,Manual,Avoid use of system:masters group (Manual),general_bench.json
5.1.8,digitalocean,WARN,false,Manual,Limit use of the Bind- Impersonate and Escalate permissions in the Kubernetes cluster (Manual),general_bench.json
5.1.9,digitalocean,WARN,false,Manual,Minimize access to create persistent volumes (Manual),general_bench.json
5.1.10,digitalocean,WARN,false,Manual,Minimize access to the proxy sub-resource of nodes (Manual),general_bench.json
5.1.11,digitalocean,WARN,false,Manual,Minimize access to the approval sub-resource of certificatesigningrequests objects (Manual),general_bench.json
5.1.12,digitalocean,WARN,false,Manual,Minimize access to webhook configuration objects (Manual),general_bench.json
5.1.13,digitalocean,WARN,false,Manual,Minimize access to the service account token creation (Manual),general_bench.json
5.2.1,digitalocean,WARN,false,Manual,Ensure that the cluster has at least one active policy control mechanism in place (Manual),general_bench.json
5.2.2,digitalocean,WARN,false,Manual,Minimize the admission of privileged containers (Manual),general_bench.json
5.2.3,digitalocean,WARN,false,Automated,Minimize the admission of containers wishing to share the host process ID namespace (Automated),general_bench.json
5.2.4,digitalocean,WARN,false,Automated,Minimize the admission of containers wishing to share the host IPC namespace (Automated),general_bench.json
5.2.5,digitalocean,WARN,false,Automated,Minimize the admission of containers wishing to share the host network namespace (Automated),general_bench.json
5.2.6,digitalocean,WARN,false,Automated,Minimize the admission of containers with allowPrivilegeEscalation (Automated),general_bench.json
5.2.7,digitalocean,WARN,false,Automated,Minimize the admission of root containers (Automated),general_bench.json
5.2.8,digitalocean,WARN,false,Automated,Minimize the admission of containers with the NET_RAW capability (Automated),general_bench.json
5.2.9,digitalocean,WARN,false,Automated,Minimize the admission of containers with added capabilities (Automated),general_bench.json
5.2.10,digitalocean,WARN,false,Manual,Minimize the admission of containers with capabilities assigned (Manual),general_bench.json
5.2.11,digitalocean,WARN,false,Manual,Minimize the admission of Windows HostProcess containers (Manual),general_bench.json
5.2.12,digitalocean,WARN,false,Manual,Minimize the admission of HostPath volumes (Manual),general_bench.json
5.2.13,digitalocean,WARN,false,Manual,Minimize the admission of containers which use HostPorts (Manual),general_bench.json
5.3.1,digitalocean,WARN,false,Manual,Ensure that the CNI in use supports NetworkPolicies (Manual),general_bench.json
5.3.2,digitalocean,WARN,false,Manual,Ensure that all Namespaces have NetworkPolicies defined (Manual),general_bench.json
5.4.1,digitalocean,WARN,false,Manual,Prefer using Secrets as files over Secrets as environment variables (Manual),general_bench.json
5.4.2,digitalocean,WARN,false,Manual,Consider external secret storage (Manual),general_bench.json
5.5.1,digitalocean,WARN,false,Manual,Configure Image Provenance using ImagePolicyWebhook admission controller (Manual),general_bench.json
5.7.1,digitalocean,WARN,false,Manual,Create administrative boundaries between resources using namespaces (Manual),general_bench.json
5.7.2,digitalocean,WARN,false,Manual,Ensure that the seccomp profile is set to docker/default in your Pod definitions (Manual),general_bench.json
5.7.3,digitalocean,WARN,false,Manual,Apply SecurityContext to your Pods and Containers (Manual),general_bench.json
5.7.4,digitalocean,WARN,false,Manual,The default namespace should not be used (Manual),general_bench.json
3.1.1,gcp,PASS,false,Manual,Ensure that the proxy kubeconfig file permissions are set to 644 or more restrictive (Manual),gcp_bench.json
3.1.2,gcp,PASS,false,Manual,Ensure that the proxy kubeconfig file ownership is set to root:root (Manual),gcp_bench.json
3.1.3,gcp,PASS,false,Manual,Ensure that the kubelet configuration file permissions are set to 644 or more restrictive (Manual),gcp_bench.json
3.1.4,gcp,PASS,false,Manual,Ensure that the kubelet configuration file ownership is set to root:root (Manual),gcp_bench.json
3.2.1,gcp,FAIL,true,Automated,Ensure that the --anonymous-auth argument is set to false (Automated),gcp_bench.json
3.2.2,gcp,FAIL,true,Automated,Ensure that the --authorization-mode argument is not set to AlwaysAllow (Automated),gcp_bench.json
3.2.3,gcp,FAIL,true,Automated,Ensure that the --client-ca-file argument is set as appropriate (Automated),gcp_bench.json
3.2.4,gcp,WARN,false,Manual,Ensure that the --read-only-port argument is set to 0 (Manual),gcp_bench.json
3.2.5,gcp,PASS,true,Automated,Ensure that the --streaming-connection-idle-timeout argument is not set to 0 (Automated),gcp_bench.json
3.2.6,gcp,FAIL,true,Manual,Ensure that the --protect-kernel-defaults argument is set to true (Manual),gcp_bench.json
3.2.7,gcp,PASS,true,Automated,Ensure that the --make-iptables-util-chains argument is set to true (Automated) ,gcp_bench.json
3.2.8,gcp,PASS,false,Manual,Ensure that the --hostname-override argument is not set (Manual),gcp_bench.json
3.2.9,gcp,FAIL,true,Automated,Ensure that the --event-qps argument is set to 0 or a level which ensures appropriate event capture (Automated),gcp_bench.json
3.2.10,gcp,WARN,false,Manual,Ensure that the --tls-cert-file and --tls-private-key-file arguments are set as appropriate (Manual),gcp_bench.json
